0	333
0	332
1	332
2	332
2	331
3	331
4	330
4	329
5	329
5	328
5	327
6	327
7	326
8	325
9	325
9	324
10	324
11	324
12	324
12	323
13	323
14	323
14	322
15	322
16	321
17	321
18	320
19	319
20	319
20	318
21	318
22	317
23	316
24	315
25	314
26	313
27	312
28	311
28	310
29	310
29	309
30	309
30	308
31	307
31	306
32	306
32	305
33	304
34	303
34	302
35	302
35	301
36	301
36	300
37	299
37	298
38	298
38	297
39	296
40	295
40	294
41	294
41	293
42	293
42	292
43	292
43	291
44	291
44	290
45	290
45	289
46	288
47	288
47	287
48	286
49	285
50	284
50	283
51	283
51	282
52	282
52	281
53	281
53	280
54	280
54	279
55	279
55	278
56	278
56	277
57	277
57	276
58	276
59	276
60	275
61	275
62	274
63	274
64	273
65	273
65	272
66	271
67	270
67	269
68	269
68	268
68	267
69	267
69	266
69	265
69	264
70	264
70	263
71	262
72	261
73	260
73	259
74	259
75	258
76	257
77	256
78	256
78	255
79	254
80	253
80	252
81	252
82	251
82	250
83	250
83	249
84	249
84	248
85	248
85	247
86	246
87	246
87	245
87	244
88	244
88	243
89	242
89	241
90	241
90	240
91	239
91	238
92	237
92	236
92	235
93	235
93	234
93	233
94	233
94	232
95	231
95	230
96	229
97	228
98	227
98	226
99	226
99	225
100	224
100	223
101	223
101	222
102	222
102	221
103	221
104	220
105	220
105	219
106	219
107	218
108	217
109	217
109	216
110	216
110	215
111	215
111	214
112	214
112	213
113	212
113	211
114	211
114	210
115	210
115	209
116	208
117	208
117	207
117	206
118	206
118	205
118	204
118	203
118	202
118	201
118	200
118	199
119	198
119	197
119	196
120	196
120	195
120	194
120	193
121	193
121	192
122	191
122	190
123	189
124	188
125	187
126	187
126	186
127	186
127	185
128	184
128	183
129	182
129	181
130	181
130	180
130	179
130	178
131	178
131	177
132	177
132	176
133	176
134	175
135	174
136	173
137	173
137	172
138	171
139	170
139	169
140	168
140	167
140	166
141	166
141	165
141	164
141	163
142	163
142	162
142	161
143	160
143	159
144	158
144	157
145	157
145	156
145	155
146	155
146	154
147	154
147	153
148	152
149	152
149	151
150	150
150	149
151	148
152	147
152	146
153	145
153	144
154	143
155	142
156	141
157	141
157	140
158	140
158	139
159	138
160	138
160	137
161	136
161	135
162	135
162	134
162	133
163	132
163	131
163	130
163	129
163	128
163	127
164	127
164	126
164	125
165	125
165	124
165	123
165	122
166	121
166	120
166	119
167	118
167	117
167	116
168	115
168	114
168	113
168	112
169	111
169	110
170	110
170	109
170	108
171	108
171	107
172	106
173	105
173	104
173	103
173	102
174	102
174	101
174	100
174	99
175	99
175	98
175	97
175	96
175	95
175	94
175	93
176	93
176	92
176	91
176	90
177	90
177	89
178	89
178	88
179	88
179	87
180	87
180	86
180	85
180	84
180	83
181	83
181	82
181	81
182	81
182	80
183	79
184	79
184	78
185	78
185	77
186	77
187	76
188	75
188	74
188	73
189	73
189	72
189	71
189	70
190	70
190	69
190	68
191	67
191	66
192	66
192	65
193	64
193	63
193	62
194	61
194	60
194	59
194	58
194	57
